interaction,free_energy,TP,FP,FN,TN,TPR,PPV,MCC
16,-243.10,0.0,4.5,1.5,307720.0,0.0,0.0,-8.442905507174252e-06
36,-427.90,0.0,11.5,10.0,866586.0,0.0,0.0,-1.2374619792617068e-05
71,-860.40,0.0,3.0,6.0,3096316.0,0.0,0.0,-1.3702201329351347e-06
40,-621.80,0.0,28.0,3.0,1530375.0,0.0,0.0,-5.988766520843798e-06
43,-699.00,0.0,25.5,12.0,2013021.0,0.0,0.0,-8.689771617591875e-06
108,-587.90,0.0,6.5,1.5,1637145.0,0.0,0.0,-1.9072784451524204e-06
82,-436.00,9.0,1.5,3.0,1076769.0,0.75,0.8571428571428571,0.8017816780367645
77,-588.80,0.0,3.0,5.0,1432278.0,0.0,0.0,-2.7040648044228447e-06
58,-283.00,13.0,0.0,0.0,393815.0,1.0,1.0,1.0
17,-375.90,0.0,10.5,8.0,689725.0,0.0,0.0,-1.3287945886298572e-05
105,-300.10,10.0,6.5,1.0,633365.0,0.9090909090909091,0.6060606060606061,0.7422644625000495
22,-225.50,19.0,8.5,3.0,317187.0,0.8636363636363636,0.6909090909090909,0.7724425753900754
102,-764.20,0.0,36.0,10.5,2386020.0,0.0,0.0,-8.148310847048206e-06
31,-512.50,0.0,16.0,11.0,972315.0,0.0,0.0,-1.3644050505014972e-05
72,-860.40,0.0,5.0,2.0,3096316.0,0.0,0.0,-1.0213021169710525e-06
70,-329.20,0.0,17.5,11.5,891780.0,0.0,0.0,-1.5907544797810907e-05
86,-318.10,0.0,24.5,6.0,517653.0,0.0,0.0,-2.342109189605063e-05
83,-460.80,0.0,5.0,4.0,1081185.0,0.0,0.0,-4.136310938091849e-06
28,-713.60,16.0,1.0,0.5,2222870.0,0.9696969696969697,0.9411764705882353,0.9553299586821382
30,-442.20,12.0,0.0,0.0,1018866.0,1.0,1.0,1.0
106,-248.30,0.0,9.5,2.5,318801.0,0.0,0.0,-1.5286355609187275e-05
60,-447.50,14.0,11.0,2.0,1097407.0,0.875,0.56,0.6999948515363246
84,-424.10,15.0,0.0,0.0,1143813.0,1.0,1.0,1.0
92,-431.10,0.0,6.0,7.0,733866.0,0.0,0.0,-8.830880975114021e-06
1,-508.80,7.0,12.0,4.0,998984.0,0.6363636363636364,0.3684210526315789,0.48419292362101163
76,-478.90,0.0,19.0,9.5,1340703.0,0.0,0.0,-1.002077719416881e-05
73,-287.40,0.0,12.0,7.0,557040.0,0.0,0.0,-1.6453028662630486e-05
79,-497.70,8.0,2.0,0.5,1024588.0,0.9411764705882353,0.8,0.8677206667911208
95,-251.70,0.0,7.0,2.0,303810.0,0.0,0.0,-1.2315598455309466e-05
104,-539.30,0.0,6.0,4.0,1432278.0,0.0,0.0,-3.420399100992995e-06
38,-665.50,21.0,1.0,1.0,2273757.0,0.9545454545454546,0.9545454545454546,0.9545450147449129
2,-579.50,10.0,0.0,0.0,1457768.0,1.0,1.0,1.0
37,-322.20,16.0,4.0,0.5,434762.0,0.9696969696969697,0.8,0.880766200693408
93,-252.60,0.0,10.0,8.0,349866.0,0.0,0.0,-2.5564192668912306e-05
32,-751.20,23.0,1.0,0.5,1953253.0,0.9787234042553191,0.9583333333333334,0.968474326577896
88,-470.80,0.0,15.0,1.5,924120.0,0.0,0.0,-5.132855196645165e-06
45,-584.90,22.0,3.5,2.0,1263233.0,0.9166666666666666,0.8627450980392157,0.8892951318502633
29,-677.10,0.0,16.0,9.5,1701090.0,0.0,0.0,-7.247550452763922e-06
24,-669.00,0.0,33.0,6.0,1657110.0,0.0,0.0,-8.491338353422122e-06
42,-157.70,15.0,6.5,3.5,160446.0,0.8108108108108109,0.6976744186046512,0.7520877688309673
94,-554.40,8.0,13.0,2.0,1287202.0,0.8,0.38095238095238093,0.5520478370687212
54,-448.50,12.0,0.0,0.0,1121241.0,1.0,1.0,1.0
61,-420.00,0.0,4.0,9.0,1049076.0,0.0,0.0,-5.719283278500058e-06
81,-491.50,0.0,6.5,3.5,1148370.0,0.0,0.0,-4.153430723490843e-06
87,-340.40,0.0,8.5,6.0,517653.0,0.0,0.0,-1.3795589730066525e-05
67,-800.30,0.0,16.0,7.0,2816751.0,0.0,0.0,-3.7571521362812334e-06
59,-283.80,13.0,0.0,0.0,393815.0,1.0,1.0,1.0
109,-366.50,15.0,12.5,3.5,982086.0,0.8108108108108109,0.5454545454545454,0.665019255549508
97,-319.20,0.0,5.0,4.0,471906.0,0.0,0.0,-9.476661263104104e-06
90,-390.40,7.0,7.5,1.5,771896.0,0.8235294117647058,0.4827586206896552,0.6305233001297799
12,-154.60,0.0,12.5,2.5,148785.0,0.0,0.0,-3.7570240078671544e-05
39,-622.70,0.0,21.5,13.5,1502511.0,0.0,0.0,-1.1338703417247124e-05
100,-410.50,0.0,4.5,6.5,1113778.0,0.0,0.0,-4.855815257811023e-06
53,-473.60,16.0,4.5,6.0,1143812.0,0.7272727272727273,0.7804878048780488,0.7534060053582402
47,-797.90,0.0,11.0,4.5,2648451.0,0.0,0.0,-2.6564973457640003e-06
13,-211.60,13.0,0.0,0.0,320387.0,1.0,1.0,1.0
52,-381.50,0.0,9.0,9.5,789396.0,0.0,0.0,-1.1713401962368414e-05
26,-698.80,0.0,10.5,4.0,1825005.0,0.0,0.0,-3.5510669577248794e-06
69,-367.40,0.0,12.5,4.0,606651.0,0.0,0.0,-1.1655748778311701e-05
41,-365.50,9.0,0.5,1.5,770652.0,0.8571428571428571,0.9473684210526315,0.901125847034089
68,-276.20,19.0,0.0,0.0,533009.0,1.0,1.0,1.0
56,-375.70,0.0,3.0,6.0,914628.0,0.0,0.0,-4.6386288341218916e-06
66,-335.60,0.0,19.0,10.0,899811.0,0.0,0.0,-1.5318579827158253e-05
74,-287.40,15.0,13.0,1.5,557025.0,0.9090909090909091,0.5357142857142857,0.6978524461941144
49,-478.50,0.0,10.5,5.5,997578.0,0.0,0.0,-7.617731280119404e-06
55,-357.60,12.0,0.0,0.0,595674.0,1.0,1.0,1.0
46,-644.10,11.0,7.5,2.0,1523374.0,0.8461538461538461,0.5945945945945946,0.7093056216395449
62,-181.90,0.0,3.0,6.0,223446.0,0.0,0.0,-1.8986937541938274e-05
14,-499.70,21.0,0.0,1.0,951489.0,0.9545454545454546,1.0,0.9770079075085437
80,-463.90,0.0,40.0,9.0,1098903.0,0.0,0.0,-1.7265621219687014e-05
85,-490.20,12.0,0.0,0.0,1241088.0,1.0,1.0,1.0
98,-495.60,0.0,8.0,5.5,1122751.0,0.0,0.0,-5.907997144277036e-06
78,-894.40,0.0,6.5,5.0,3541791.0,0.0,0.0,-1.609600303997065e-06
75,-498.40,11.0,6.5,4.5,976492.0,0.7096774193548387,0.6285714285714286,0.6678888342225976
18,-717.10,25.0,2.0,2.5,2246115.0,0.9090909090909091,0.9259259259259259,0.9174688035223368
48,-616.20,0.0,20.0,6.5,1499046.0,0.0,0.0,-7.605939692581842e-06
34,-592.50,0.0,19.5,4.5,1277601.0,0.0,0.0,-7.3320301200433955e-06
35,-540.60,0.0,9.0,4.0,1296855.0,0.0,0.0,-4.626554184861798e-06
33,-512.30,10.0,15.5,3.0,1023155.0,0.7692307692307693,0.39215686274509803,0.5492275748649925
89,-231.50,0.0,4.5,6.5,295296.0,0.0,0.0,-1.8314593434936816e-05
103,-567.10,21.0,11.0,4.0,1212882.0,0.84,0.65625,0.7424562465887354
63,-805.60,0.0,18.5,4.5,2831010.0,0.0,0.0,-3.222915755134753e-06
50,-279.10,15.0,2.0,2.0,393813.0,0.8823529411764706,0.8823529411764706,0.8823478626497512
44,-699.00,0.0,25.5,9.5,2013021.0,0.0,0.0,-7.731785763857119e-06
107,-290.90,14.0,0.0,0.0,472864.0,1.0,1.0,1.0
99,-715.70,17.0,0.0,0.0,1921763.0,1.0,1.0,1.0
27,-698.80,17.0,0.0,0.0,1824988.0,1.0,1.0,1.0
11,-282.10,9.0,12.0,5.0,406342.0,0.6428571428571429,0.42857142857142855,0.5248710681158809
23,-415.30,16.0,0.0,0.0,823670.0,1.0,1.0,1.0
21,-326.40,0.0,4.5,3.5,503506.0,0.0,0.0,-7.88192283489671e-06
9,-368.60,0.0,9.5,3.5,737505.0,0.0,0.0,-7.818564588325883e-06
25,-678.50,14.0,14.5,3.5,1830727.0,0.8,0.49122807017543857,0.6268788049085443
51,-301.30,0.0,16.0,8.0,544446.0,0.0,0.0,-2.077976354335888e-05
3,-643.90,13.0,3.0,5.0,1967123.0,0.7222222222222222,0.8125,0.7660303392911313
6,-560.90,12.0,0.0,0.0,1602933.0,1.0,1.0,1.0
8,-294.20,0.0,8.0,5.0,407253.0,0.0,0.0,-1.5529546444907135e-05
19,-968.10,18.0,3.0,4.5,3600568.0,0.8,0.8571428571428571,0.8280776362768716
91,-579.10,0.0,4.5,2.5,1594005.0,0.0,0.0,-2.104193275161547e-06
64,-278.10,0.0,13.0,5.5,539241.0,0.0,0.0,-1.568059961557429e-05
96,-562.40,0.0,8.0,4.0,1456071.0,0.0,0.0,-3.88499663788228e-06
20,-325.40,0.0,19.5,12.0,543403.0,0.0,0.0,-2.81496701045788e-05
10,-280.10,9.0,0.5,0.5,407244.0,0.9473684210526315,0.9473684210526315,0.9473671932889662
15,-335.60,0.0,8.5,3.0,594595.0,0.0,0.0,-8.492677597926081e-06
7,-581.80,0.0,6.0,6.0,1597578.0,0.0,0.0,-3.7556710633055913e-06
65,-379.30,0.0,14.0,4.0,613278.0,0.0,0.0,-1.2201978476303237e-05
101,-493.90,0.0,13.5,6.0,897130.0,0.0,0.0,-1.0031881878022485e-05
5,-566.00,19.0,0.0,0.0,1518134.0,1.0,1.0,1.0
57,-375.70,0.0,11.5,14.0,914628.0,0.0,0.0,-1.3872744616354968e-05
4,-296.30,0.0,12.5,1.5,427350.0,0.0,0.0,-1.0132341389706491e-05
